"[11.29230913675321, 10.21339619519384]",0
"[10.21339619519384, 10.03599430450217]",1
"[10.03599430450217, 10.114611286648637]",2
"[10.114611286648637, 10.323052250182599]",0
"[10.323052250182599, 9.928173908629924]",0
"[9.928173908629924, 9.64802409822861]",0
"[9.64802409822861, 9.867057376948814]",0
"[9.867057376948814, 9.9467731008604]",1
"[9.9467731008604, 10.020896544720937]",2
"[10.020896544720937, 10.76115862535257]",0
"[10.76115862535257, 10.280139275321128]",0
"[10.280139275321128, 10.066222069873087]",0
"[10.066222069873087, 9.843362167471032]",0
"[9.843362167471032, 10.754351396527825]",0
"[10.754351396527825, 9.891661931141803]",0
"[9.891661931141803, 9.772806471019468]",1
"[9.772806471019468, 9.914408676265065]",2
"[9.914408676265065, 9.870434288317814]",3
"[9.870434288317814, 9.955980084351316]",4
